Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
3/11/2013,67.53383451,76.04963716,67.67748722,74.91412778,68.3919315,75.0419913,66.5689231,74.72688148,67.20864505,72.23885795
3/12/2013,67.55033795,76.0512987,67.64299658,74.87395594,68.34020291,75.0638695,66.58781436,74.70324207,67.19506797,72.25417737
3/13/2013,67.47722472,75.99268237,67.57506232,74.90765691,68.37330266,75.05482593,66.61588354,74.69450008,67.18356875,72.26896629
3/14/2013,67.501338,76.00689324,67.51315773,74.92309816,68.3606646,74.98641611,66.60738381,74.6667253,67.18859152,72.27114542
3/15/2013,67.48889848,75.95908417,67.60032581,74.95803225,68.30536705,74.96720442,66.58026119,74.61223235,67.24551858,72.28400834
3/16/2013,67.5022625,75.91872768,67.60713542,74.98719035,68.32064341,74.96427587,66.56392816,74.60939894,67.19690558,72.29368021
3/17/2013,67.46157859,75.92001336,67.68711069,74.97137239,68.26792267,74.9671308,66.55793982,74.59124647,67.25273369,72.26954547
3/18/2013,67.54577894,75.90466478,67.60050767,74.95212512,68.30850299,74.93682227,66.54624883,74.53599425,67.29634515,72.24269351
3/19/2013,67.47559095,75.88707962,67.54256374,74.94311722,68.29784698,74.91477614,66.53377207,74.52249736,67.20380867,72.22686776
3/20/2013,67.40307582,75.8406752,67.61029291,74.93218284,68.24281071,74.83632442,66.56454106,74.50364012,67.22383496,72.21181213
3/21/2013,67.39851623,75.8194883,67.70067083,74.96891273,68.19326831,74.82901391,66.53599634,74.48132722,67.28223748,72.21677145
3/22/2013,67.38491934,75.77449588,67.64320226,74.94970558,68.22533854,74.79807477,66.53054308,74.46929925,67.30495381,72.23308958
3/23/2013,67.32525092,75.73893712,67.61639381,74.95195135,68.23680947,74.82741467,66.58610029,74.46213648,67.25134814,72.2509385
3/24/2013,67.33541525,75.7055621,67.5486682,74.91470712,68.26131512,74.87899181,66.55889608,74.45117164,67.24105353,72.25384175
3/25/2013,67.37457528,75.6125195,67.44892055,74.87381009,68.26917781,74.86255646,66.52902948,74.42774479,67.20219991,72.23693434
3/26/2013,67.33614408,75.55053696,67.35444364,74.86989701,68.21658393,74.85221316,66.54539656,74.36369709,67.15241701,72.22953523
3/27/2013,67.36482323,75.52064653,67.4432596,74.91078079,68.16556436,74.82538079,66.52237385,74.31349283,67.2110375,72.23572955
3/28/2013,67.3916271,75.44795419,67.38211166,74.92637881,68.13122369,74.82573909,66.55537131,74.32728559,67.24758922,72.26637042
3/29/2013,67.37827728,75.43986173,67.36403977,74.9123794,68.07570091,74.82238888,66.61793887,74.32351842,67.24127429,72.25497009
3/30/2013,67.34311577,75.4556219,67.4590838,74.93822351,68.09773275,74.85284732,66.61761322,74.32216581,67.2464427,72.25791833
3/31/2013,67.22356456,75.44562234,67.53000214,74.936076,68.13361087,74.86034808,66.64940099,74.32516031,67.23785999,72.28169455
4/1/2013,67.25710767,75.45410897,67.47200564,74.92645215,68.12959599,74.85349694,66.62468391,74.33539695,67.29000879,72.29015194
4/2/2013,67.32356264,75.44647334,67.5628136,74.96185344,68.08283332,74.83597349,66.59544107,74.31091575,67.3520503,72.3061435
4/3/2013,67.31749408,75.46002023,67.4897972,74.92618889,68.04757922,74.84636859,66.66233502,74.30792441,67.42414034,72.33549221
4/4/2013,67.36172478,75.51453335,67.42995662,74.9650442,67.98810787,74.82127309,66.69692294,74.30472458,67.4114218,72.33797428
4/5/2013,67.35048009,75.51790088,67.37300279,74.95370977,67.9893357,74.77807919,66.72088318,74.31623585,67.45990294,72.33577444
4/6/2013,67.37227338,75.55206077,67.37456313,74.93552582,67.95437909,74.73381768,66.73287235,74.33185888,67.49138131,72.37914132
4/7/2013,67.35011591,75.56596426,67.30253941,74.96889647,67.97041077,74.70281425,66.73322401,74.31750761,67.56433452,72.42294657
4/8/2013,67.42044477,75.58890254,67.37253313,75.00471902,67.92519486,74.69418772,66.71594784,74.30882602,67.63139538,72.44466277
4/9/2013,67.4613898,75.5630742,67.41966395,75.00993734,67.97723235,74.70470714,66.76799117,74.32738127,67.67573056,72.45287622
4/10/2013,67.48520175,75.54735737,67.48520602,75.00453744,67.96984573,74.68757439,66.79682807,74.32838745,67.63477269,72.45798419
4/11/2013,67.51768805,75.46457465,67.50731501,75.00981015,67.92645302,74.73541105,66.8333952,74.30764125,67.71138889,72.44749094
4/12/2013,67.4093116,75.52486826,67.58993092,75.02400828,67.88116715,74.7587374,66.84548291,74.3194193,67.77009076,72.43548623
4/13/2013,67.41544485,75.5260434,67.52484897,74.97161807,67.82728813,74.7611213,66.89134238,74.33015475,67.77545312,72.46199902
4/14/2013,67.49886769,75.53784155,67.58083688,75.02566208,67.79086447,74.75906806,66.85483679,74.32331406,67.84428347,72.50870412
4/15/2013,67.5121197,75.58199591,67.52477133,75.07170715,67.7799539,74.80280274,66.90445452,74.33163198,67.80530131,72.56638525
4/16/2013,67.51970246,75.60642967,67.45575272,75.13213858,67.80080708,74.78767298,66.93424954,74.34609819,67.79412529,72.56661073
4/17/2013,67.53780489,75.63155854,67.48341918,75.09351039,67.83269508,74.80688254,66.92411522,74.34790703,67.81377474,72.56510988
4/18/2013,67.55366942,75.62958997,67.41873134,75.13171275,67.79888492,74.86456912,66.8872157,74.39769674,67.81793553,72.52112211
4/19/2013,67.56776098,75.65947234,67.35678983,75.19270633,67.83832481,74.88469274,66.89509791,74.41171426,67.78229687,72.54861103
4/20/2013,67.65335501,75.70855159,67.40127014,75.24897374,67.80189944,74.89244842,66.83025601,74.42028111,67.83977686,72.58165793
4/21/2013,67.67152782,75.75665225,67.42354216,75.28627603,67.87462887,74.85950435,66.77440993,74.46228958,67.90089602,72.56877509
4/22/2013,67.68473731,75.72166503,67.42638659,75.33670877,67.9171099,74.87018864,66.80063301,74.46559072,67.90878999,72.62024341
4/23/2013,67.66746882,75.76343719,67.39176758,75.26892426,67.94854749,74.87988185,66.79528692,74.49582855,67.87430772,72.67970367
4/24/2013,67.69815246,75.79805325,67.33057173,75.30065684,67.99769916,74.88967033,66.81010285,74.46629731,67.87616625,72.73021125
4/25/2013,67.72004921,75.7891214,67.36085816,75.2924123,68.02310283,74.94937656,66.84609051,74.50883231,67.87165619,72.75003809
4/26/2013,67.79589035,75.82824071,67.38977499,75.35247768,67.99096284,74.97971602,66.84321637,74.5279455,67.9261096,72.78253442
4/27/2013,67.88249146,75.85594973,67.30976943,75.40085394,68.02971251,74.97795625,66.7948799,74.55650755,67.92023094,72.80514414
4/28/2013,67.90187166,75.89945208,67.22930006,75.4322065,68.0906143,75.02424726,66.75627264,74.51839728,67.92586623,72.86106806
4/29/2013,67.884427,75.94881264,67.18699598,75.48455419,68.13290169,75.02798537,66.7182789,74.52481915,67.99274628,72.89653956
